Unnamed: 0,沈阳,长春,哈尔滨,北京,天津,石家庄,太原,呼和浩特,济南,上海,南京,杭州,合肥,福州,南昌,郑州,武汉,长沙,重庆,成都,广州,南宁,海口,贵阳,昆明,西安,兰州,西宁,银川,乌鲁木齐,拉萨
2020,0.91,0.839,0.814,0.615,0.841,1.092,0.841,1.0,0.742,0.548,0.695,0.532,0.763,0.489,0.616,0.738,0.316,0.487,0.432,0.117,0.445,0.526,0.459,0.42,0.146,0.641,0.46,0.095,0.872,0.749,0.5634
2025,0.578,0.564,0.654,0.595,0.688,0.736,0.707,0.8,0.546,0.333,0.601,0.418,0.755,0.363,0.474,0.599,0.31,0.453,0.363,0.104,0.369,0.336,0.326,0.398,0.1,0.607,0.443,0.067,0.724,0.72,0.5122
2030,0.496,0.43,0.599,0.519,0.536,0.683,0.7,0.792,0.498,0.325,0.512,0.386,0.694,0.33,0.436,0.49,0.254,0.409,0.256,0.075,0.332,0.334,0.224,0.276,0.062,0.601,0.407,0.032,0.665,0.713,0.48360000000000003
2035,0.371,0.216,0.504,0.289,0.418,0.544,0.598,0.673,0.383,0.281,0.411,0.307,0.596,0.27,0.354,0.389,0.202,0.312,0.179,0.04,0.276,0.279,0.115,0.204,0.025,0.515,0.279,0.01,0.459,0.573,0.3672
2040,0.34291358024691354,0.1944,0.41412345679012347,0.2601,0.37056790123456795,0.4721975308641975,0.48395061728395056,0.5475555555555556,0.34429629629629627,0.22469135802469137,0.3539753086419753,0.2668641975308642,0.47980246913580243,0.22814814814814816,0.3014320987654321,0.3387654320987654,0.17560493827160492,0.2827654320987654,0.17698765432098765,0.036000000000000004,0.22953086419753085,0.23091358024691358,0.10350000000000001,0.19081481481481485,0.022500000000000003,0.41550617283950614,0.25110000000000005,0.009000000000000001,0.4131,0.49293827160493825,0.33434074074074077
2050,0.23881481481481479,0.13538571428571428,0.2884074074074074,0.18114107142857144,0.25807407407407407,0.32885185185185184,0.337037037037037,0.3813333333333333,0.23977777777777776,0.1564814814814815,0.24651851851851853,0.18585185185185185,0.33414814814814814,0.1588888888888889,0.2099259259259259,0.23592592592592593,0.12229629629629629,0.1969259259259259,0.12325925925925926,0.02507142857142857,0.15985185185185186,0.16081481481481483,0.07208035714285715,0.13288888888888892,0.015669642857142858,0.28937037037037033,0.1748732142857143,0.006267857142857143,0.28769464285714286,0.34329629629629627,0.23284444444444446
2060,0.18370370370370367,0.10414285714285713,0.22185185185185186,0.13933928571428572,0.1985185185185185,0.25296296296296295,0.25925925925925924,0.29333333333333333,0.18444444444444444,0.12037037037037038,0.18962962962962962,0.14296296296296296,0.257037037037037,0.12222222222222225,0.16148148148148148,0.18148148148148147,0.09407407407407407,0.15148148148148147,0.09481481481481481,0.019285714285714288,0.12296296296296297,0.1237037037037037,0.05544642857142858,0.10222222222222224,0.01205357142857143,0.22259259259259256,0.13451785714285716,0.004821428571428572,0.22130357142857143,0.26407407407407407,0.17911111111111114
